Study,Generation,Treatment,Sex,Sugar.Weight,Glucose,Trehalose,Glycogen
Main,F0,NSD,male,2.49,1.763848743,0,0.15000656
Main,F0,NSD,male,2.31,1.632611196,1.739043481,2.535035601
Main,F0,NSD,male,2.47,1.176082769,0,0.895166172
Main,F0,NSD,male,2.65,1.024771669,0,0.184200913
Main,F0,NSD,male,2.42,1.334295478,0.02074694,1.632253172
Main,F0,NSD,male,2.49,0,0,4.108799248
Main,F0,NSD,male,2.49,3.262379629,0,1.643196749
Main,F0,NSD,male,2.37,2.695249409,0,0
Main,F0,NSD,male,2.45,0.880617693,0,1.031505002
Main,F0,NSD,male,2.51,2.735466654,0,0.199312857
Main,F0,NSD,male,2.53,4.895750662,0,2.093987003
Main,F0,NSD,female,3.67,0.782448791,0,2.453076431
Main,F0,NSD,female,3.23,0,0,3.652639876
Main,F0,NSD,female,3.27,3.570793673,0,0.375010144
Main,F0,NSD,female,3.33,3.100985377,0,4.010025822
Main,F0,NSD,female,3.45,3.853490476,2.953160958,0
Main,F0,NSD,female,3.72,3.714046402,0.108249962,2.577527099
Main,F0,NSD,female,3.92,2.501980826,3.691098733,0.432798685
Main,F0,NSD,female,3.43,4.305580384,0,3.201158429
Main,F0,NSD,female,3.6,6.047064395,2.241763207,2.184895176
Main,F0,NSD,female,3.64,1.13313866,0,3.724449659
Main,F0,NSD,female,3.64,2.855581474,0,2.649880761
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,NSD,female,NA,NA,NA,NA
Main,F0,LSD,male,2.42,7.039619338,13.91812426,10.67453048
Main,F0,LSD,male,2.53,7.116302041,0.208960216,8.322746065
Main,F0,LSD,male,2.35,9.197472795,9.252077233,8.347188893
Main,F0,LSD,male,2.33,8.472932494,5.639154626,9.929880085
Main,F0,LSD,male,2.14,9.308786423,11.02112631,9.356338439
Main,F0,LSD,male,2.47,12.60139325,9.420595809,5.844715868
Main,F0,LSD,male,2.42,5.191854584,17.29303522,12.99768157
Main,F0,LSD,male,2.34,9.491577548,5.829724939,7.784524711
Main,F0,LSD,male,2.37,11.71538343,17.21031258,3.107714766
Main,F0,LSD,male,2.45,9.9812783,4.295564233,8.827493764
