Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,Fit.Weight,Fitness
F0,NSD,male,1,2.49,1.763848743,0,0.15000656,2.24,0.558947081,NA,NA
F0,NSD,male,2,2.31,1.632611196,1.739043481,2.535035601,2.35,2.553123456,NA,NA
F0,NSD,male,3,2.47,1.176082769,0,0.895166172,2.5,1.795276731,NA,NA
F0,NSD,male,4,2.65,1.024771669,0,0.184200913,2.54,2.875367439,NA,NA
F0,NSD,male,5,2.42,1.334295478,0.02074694,1.632253172,2.33,0.581838073,NA,NA
F0,NSD,male,6,2.49,0,0,4.108799248,2.13,0.514739988,NA,NA
F0,NSD,male,7,2.49,3.262379629,0,1.643196749,2.15,0.407303211,NA,NA
F0,NSD,male,8,2.37,2.695249409,0,0,2.36,0.485554527,NA,NA
F0,NSD,male,9,2.45,0.880617693,0,1.031505002,2.16,0.263457606,NA,NA
F0,NSD,male,10,2.51,2.735466654,0,0.199312857,2.22,0.626727906,NA,NA
F0,NSD,male,11,2.53,4.895750662,0,2.093987003,2.39,0.291122693,NA,NA
F0,NSD,female,1,3.67,0.782448791,0,2.453076431,3.22,10.1862113,0.65,61
F0,NSD,female,2,3.23,0,0,3.652639876,2.86,10.10360394,0.89,49
F0,NSD,female,3,3.27,3.570793673,0,0.375010144,3.5,6.011528759,0.65,0
F0,NSD,female,4,3.33,3.100985377,0,4.010025822,3.29,4.539961463,0.65,1
F0,NSD,female,5,3.45,3.853490476,2.953160958,0,3.14,2.561490003,0.86,55
F0,NSD,female,6,3.72,3.714046402,0.108249962,2.577527099,3.22,5.013460258,0.65,12
F0,NSD,female,7,3.92,2.501980826,3.691098733,0.432798685,3.86,3.287368506,0.65,7
F0,NSD,female,8,3.43,4.305580384,0,3.201158429,3.13,4.32254283,1.06,66
F0,NSD,female,9,3.6,6.047064395,2.241763207,2.184895176,3.45,2.487800481,0.75,28
F0,NSD,female,10,3.64,1.13313866,0,3.724449659,2.92,3.151004519,1.05,68
F0,NSD,female,11,3.64,2.855581474,0,2.649880761,3.29,2.981152916,0.82,25
F0,NSD,female,12,NA,NA,NA,NA,NA,NA,0.99,27
F0,NSD,female,13,NA,NA,NA,NA,NA,NA,0.65,1
F0,NSD,female,14,NA,NA,NA,NA,NA,NA,0.87,4
F0,NSD,female,15,NA,NA,NA,NA,NA,NA,0.65,9
F0,NSD,female,16,NA,NA,NA,NA,NA,NA,0.98,66
F0,NSD,female,17,NA,NA,NA,NA,NA,NA,1.05,44
F0,NSD,female,18,NA,NA,NA,NA,NA,NA,1.32,69
F0,NSD,female,19,NA,NA,NA,NA,NA,NA,0.94,9
F0,NSD,female,20,NA,NA,NA,NA,NA,NA,1.19,87
F0,NSD,female,21,NA,NA,NA,NA,NA,NA,0.65,31
F0,NSD,female,22,NA,NA,NA,NA,NA,NA,0.65,30
F0,NSD,female,23,NA,NA,NA,NA,NA,NA,0.65,75
F0,NSD,female,24,NA,NA,NA,NA,NA,NA,0.65,0
F0,NSD,female,25,NA,NA,NA,NA,NA,NA,0.65,0
F0,NSD,female,26,NA,NA,NA,NA,NA,NA,0.65,40
F0,NSD,female,27,NA,NA,NA,NA,NA,NA,0.65,18
F0,NSD,female,28,NA,NA,NA,NA,NA,NA,0.65,19
F0,NSD,female,29,NA,NA,NA,NA,NA,NA,0.65,66
F0,NSD,female,30,NA,NA,NA,NA,NA,NA,0.65,16
F0,LSD,male,1,2.42,7.039619338,13.91812426,10.67453048,2.5,41.47235888,NA,NA
F0,LSD,male,2,2.53,7.116302041,0.208960216,8.322746065,2.55,39.58211065,NA,NA
F0,LSD,male,3,2.35,9.197472795,9.252077233,8.347188893,2.68,38.20589503,NA,NA
F0,LSD,male,4,2.33,8.472932494,5.639154626,9.929880085,2.48,34.4494593,NA,NA
F0,LSD,male,5,2.14,9.308786423,11.02112631,9.356338439,2.44,25.48776169,NA,NA
F0,LSD,male,6,2.47,12.60139325,9.420595809,5.844715868,2.47,33.9801694,NA,NA
F0,LSD,male,7,2.42,5.191854584,17.29303522,12.99768157,2.56,44.12714524,NA,NA
F0,LSD,male,8,2.34,9.491577548,5.829724939,7.784524711,2.48,38.67794441,NA,NA
F0,LSD,male,9,2.37,11.71538343,17.21031258,3.107714766,2.6,39.36308588,NA,NA
F0,LSD,male,10,2.45,9.9812783,4.295564233,8.827493764,2.61,56.37681805,NA,NA
F0,LSD,male,11,2.46,5.819073462,8.106353629,2.112014195,2.36,31.87890353,NA,NA
F0,LSD,female,1,3.56,8.744589216,4.210442977,8.656800132,3.76,42.13551318,0.83,9
