Generation,Sex,Treatment,Sugar Weight,Glucose,Trehalose,Glycogen
F0,male,NSD,1.81,0.004488317,1.631369393,4.427701226
F0,male,NSD,2.44,1.847806289,0,1.726540116
F0,male,NSD,2.25,0.004488317,7.210669623,3.636968266
F0,male,NSD,2.25,0.004488317,2.077195135,2.985504361
F0,male,NSD,2.11,0.59130342,0.068821226,6.172798525
F0,male,NSD,2.19,0,3.871587097,3.740699634
F0,male,NSD,2.27,3.683615838,3.641408066,0.748573704
F0,male,NSD,1.99,0.004488317,0.230735143,0.697223861
F0,male,LSD,2.47,12.39158509,0.700477791,26.21135609
F0,male,LSD,2.33,7.649649607,13.46141863,28.13767146
F0,male,LSD,2.18,6.198036704,13.23596259,12.9505596
F0,male,LSD,2.47,8.939972188,-8.932021455,31.87675773
F0,male,LSD,2.23,6.327068962,12.52788842,23.06488984
F0,male,LSD,2.18,8.036746381,9.975542746,12.42620553
F0,male,LSD,2.36,9.681907672,21.00786124,22.78851852
F0,male,LSD,2.3,7.262552833,14.38548902,11.61688649
F0,male,CD,2.31,8.843197994,7.650652955,19.12918192
F0,male,CD,2.33,8.036746381,12.35142599,25.20467519
F0,male,CD,2.52,7.746423801,12.60784728,26.56730169
F0,male,CD,2.58,7.778681865,11.70978835,18.85393771
F0,male,CD,2.72,8.327068962,18.83605418,14.80977914
F0,male,CD,2.49,9.520617349,13.30183232,23.79020176
F0,male,CD,2.87,8.843197994,15.90269823,30.52728704
F0,male,CD,2.25,6.746423801,14.37026894,14.13713454
F0,male,HSD,2.43,15.58036486,16.86139443,28.93662727
F0,male,HSD,2.6,15.34788909,11.86293049,21.98938188
F0,male,HSD,2.56,14.91583255,33.18490169,51.0938703
F0,male,HSD,2.51,11.81097718,23.37259339,36.46928534
F0,male,HSD,2.45,12.06861878,19.68933195,31.50981259
F0,male,HSD,2.32,14.67441815,9.009703659,17.82228725
F0,male,HSD,2.56,11.54861076,27.98363147,42.70041678
F0,male,HSD,2.65,0.004488317,25.05386564,34.37841807
F0,female,NSD,3.09,0.004216298,2.124038276,9.584018996
F0,female,NSD,2.92,2.508727529,0,3.373625412
F0,female,NSD,3.06,0.004216298,0.732325661,7.260489585
F0,female,NSD,2.42,0.004216298,0.00396828,2.054607232
F0,female,NSD,3.14,0.004216298,0.00396828,0
F0,female,NSD,3.22,0.004216298,0.888427076,8.025195467
F0,female,NSD,2.41,0.004216298,2.037374235,1.936960173
F0,female,NSD,2.66,0.004216298,1.69947001,4.642842526
F0,female,LSD,3.6,8.681742943,28.95823964,30.69621685
F0,female,LSD,3.48,14.50580919,10.6822315,30.0283037
F0,female,LSD,3.73,17.05887108,23.886386,39.57131367
F0,female,LSD,3.37,5.245699735,13.05771763,13.48794988
F0,female,LSD,3.77,14.17601198,42.27576453,32.03739352
F0,female,LSD,3.84,16.88402915,33.5199518,35.9201981
F0,female,LSD,3.33,11.72350892,21.97874019,19.9024192
F0,female,LSD,2.98,3.519050693,4.651870346,20.017437
F0,female,CD,3.59,15.80047677,14.95032159,50.40706756
F0,female,CD,3.61,9.666517274,21.96420545,20.9155461
F0,female,CD,3.35,9.913369431,19.37980501,39.0401097
F0,female,CD,3.7,11.33641798,17.54005304,14.01599749
F0,female,CD,3.7,14.99590534,20.50163558,30.51971382
F0,female,CD,3.79,14.85270115,27.72853016,28.7646427
F0,female,CD,3.51,10.14722644,20.23324219,31.36389911
F0,female,CD,3.78,12.11607563,26.21162177,40.66212629
F0,female,HSD,3.52,13.20439995,23.27357638,31.19732165
F0,female,HSD,3.4,13.00738229,19.63929955,34.25140071
F0,female,HSD,3.45,12.64122468,24.48283654,44.17902663
F0,female,HSD,3.33,10.00993385,26.87857636,29.14652406
F0,female,HSD,3.04,10.22827896,40.6401938,54.40859045
F0,female,HSD,3.55,12.43663174,45.51812336,38.21256769
F0,female,HSD,3.45,9.787584572,44.96075683,41.26613625
F0,female,HSD,3.68,0.004216298,54.99181812,40.79459698
F1,male,NSD,2.51,25.55567721,9.103924238,48.77121192
F1,male,NSD,2.42,17.6923096,14.86874902,26.45939932
F1,male,NSD,2.4,6.076321554,15.72974776,16.89862115
F1,male,NSD,2.5,10.00333629,11.31332022,22.88549721
F1,male,NSD,2.58,7.68053757,13.01469205,23.81200665
F1,male,NSD,2.42,9.254409632,15.63480863,25.13987819
F1,male,NSD,2.56,9.725562008,19.79894753,23.16962809
F1,male,NSD,2.58,9.889904367,37.43494795,40.98597318
F1,male,LSD,2.59,5.628146176,14.46279991,21.7168106
F1,male,LSD,2.44,7.354616147,13.75517928,16.47360064
F1,male,LSD,2.51,10.32182802,16.3189582,23.94811527
F1,male,LSD,2.67,11.24903458,15.84216234,18.8648697
F1,male,LSD,2.72,11.02788913,16.25429973,16.0739727
F1,male,LSD,2.64,16.73593156,16.5859621,7.822609337
F1,male,LSD,2.67,16.34478101,34.38473722,16.5274225
F1,male,LSD,2.54,10.63408961,27.93149684,29.52032334
F1,male,CD,2.54,6.454876821,11.96489398,54.80002841
F1,male,CD,2.61,6.8898691,22.91411572,22.69238735
F1,male,CD,2.42,3.75814512,17.60334405,23.3895847
F1,male,CD,2.43,8.389051321,3.067371403,5.879976741
F1,male,CD,2.66,8.960793408,6.947871959,16.47396386
F1,male,CD,2.37,6.705396746,22.4699536,14.80183056
F1,male,CD,2.42,7.150005555,10.16776044,13.79346807
F1,male,CD,2.42,5.408065106,16.09185953,23.81206746
F1,male,HSD,2.62,7.768873068,44.76092051,74.78142196
F1,male,HSD,2.62,6.113611818,22.06190979,49.14846007
F1,male,HSD,2.61,5.593812859,28.9622821,37.98501673
F1,male,HSD,2.51,4.639750069,15.58237242,16.29876193
F1,male,HSD,2.27,4.984222817,17.8165378,15.05480252
F1,male,HSD,2.53,6.519528001,53.27957254,26.1103927
F1,male,HSD,2.56,6.871874702,37.46780377,57.88900197
