"","metabolite","generation","treatment","sex","pAdj","AllSig","variable","estimate","std.error","statistic","p.value"
"75","Glucose","F0","HSD","female",0.670028722517704," ","TreatmentHSD",-1.49950718745515,1.66210440406637,-0.90217388497773,0.370898581743583
"78","Glucose","F1","HSD","female",0.716986962216119," ","TreatmentHSD",1.36923507382467,1.82888644597771,0.748671453515356,0.457245106284774
"81","Glucose","F2","HSD","female",0.220963075100211," ","TreatmentHSD",-3.05146159464159,1.59778463442745,-1.90980782321458,0.0613786319722809
"84","Glucose","F3","HSD","female",0.152886025425562," ","TreatmentHSD",-2.69311982137184,1.23841417903671,-2.17465195970758,0.0339746723167915
"87","Glucose","F4","HSD","female",0.574732895798052," ","TreatmentHSD",0.938046476809525,0.893821050371541,1.049479061183,0.296864303208103
"90","Glucose","F5","HSD","female",0.929757999827687," ","TreatmentHSD",0.0993921090644012,0.902294290779107,0.110154868627816,0.912540259090137
"74","Glucose","F0","LSD","female",0.858059865910097," ","TreatmentLSD",-0.481181228148785,1.62755720750295,-0.2956462764753,0.768613559361209
"77","Glucose","F1","LSD","female",0.847979160240028," ","TreatmentLSD",-0.652122550339383,1.8259501659885,-0.357141483095378,0.722352617982246
"80","Glucose","F2","LSD","female",0.641390045580853," ","TreatmentLSD",1.42228947502531,1.49146882536613,0.95361663001985,0.344450209663791
"83","Glucose","F3","LSD","female",0.728187831243822," ","TreatmentLSD",-0.853173048658208,1.27346710813345,-0.669960804805332,0.505685993919321
"86","Glucose","F4","LSD","female",0.320529647877634," ","TreatmentLSD",1.52712482134566,0.941303833610956,1.62235058098874,0.108346789152871
"89","Glucose","F5","LSD","female",0.364649950469089," ","TreatmentLSD",-1.6334117272731,1.07332350305375,-1.5218261061328,0.131679148780505
"73","Glucose","F0","NSD","female",0.00451523560626725,"**","TreatmentNSD",-9.42106467799362,2.24687770990552,-4.19295836015471,0.000100865919254429
"76","Glucose","F1","NSD","female",0.995277331400273," ","TreatmentNSD",-0.0108187156617623,1.81949863601499,-0.00594598723385531,0.995277331400273
"79","Glucose","F2","NSD","female",0.574732895798052," ","TreatmentNSD",1.58551995969796,1.50907120654584,1.05065947373491,0.298009649673064
"82","Glucose","F3","NSD","female",0.858059865910097," ","TreatmentNSD",-0.37876082212829,1.26894803209206,-0.298484108528734,0.76645851044956
"85","Glucose","F4","NSD","female",0.0669955906038115,".","TreatmentNSD",2.46483245549144,0.936828776326109,2.63103836878025,0.010067978465126
"88","Glucose","F5","NSD","female",0.0165385178713597,"*","TreatmentNSD",-3.11323540478593,0.941816014087127,-3.30556643571567,0.00137820982261331
"93","Glucose","F0","HSD","male",0.12538668056281," ","TreatmentHSD",3.7593249283887,1.60998112142634,2.33501180750379,0.0232197556597797
"96","Glucose","F1","HSD","male",0.847979160240028," ","TreatmentHSD",-0.655440001543465,1.81894931005233,-0.360339893982317,0.719973151498441
"99","Glucose","F2","HSD","male",0.530939704458235," ","TreatmentHSD",-1.75075777639756,1.47672290783963,-1.18556959271312,0.240889310356051
"102","Glucose","F3","HSD","male",0.047754733658362,"*","TreatmentHSD",3.45536903240386,1.22452575245906,2.82180184897287,0.00663260189699472
"105","Glucose","F4","HSD","male",0.696378397134036," ","TreatmentHSD",-0.740980978682538,0.892604585762988,-0.830133510964607,0.40873547369533
"108","Glucose","F5","HSD","male",0.530939704458235," ","TreatmentHSD",1.04792520121914,0.880835806568349,1.18969414436245,0.237403232392203
"92","Glucose","F0","LSD","male",0.833454962680727," ","TreatmentLSD",0.744086098502028,1.65834721902714,0.448691377755343,0.655417172114922
"95","Glucose","F1","LSD","male",0.142232641283995," ","TreatmentLSD",4.08931146361732,1.83891809778579,2.22375943145113,0.0302902847178878
"98","Glucose","F2","LSD","male",0.833454962680727," ","TreatmentLSD",0.685790241714782,1.48339557693311,0.462311100544494,0.645681972837638
"101","Glucose","F3","LSD","male",0.837053543890468," ","TreatmentLSD",0.530119731653798,1.23619298834247,0.428832501602035,0.669720127768815
"104","Glucose","F4","LSD","male",0.492227922634641," ","TreatmentLSD",-1.1391257944931,0.901299771613118,-1.26387005785471,0.209652633714754
"107","Glucose","F5","LSD","male",0.320529647877634," ","TreatmentLSD",-1.47292071864714,0.88948546228092,-1.65592444295841,0.101339900419343
"91","Glucose","F0","NSD","male",0.0100801521153242,"*","TreatmentNSD",-6.28135702178027,1.7587681868447,-3.57145249087617,0.000746677934468459
"94","Glucose","F1","NSD","male",0.0431111537519076,"*","TreatmentNSD",5.23086895115849,1.81348134032425,2.88443494556345,0.00558848289376581
"97","Glucose","F2","NSD","male",0.697398920868586," ","TreatmentNSD",1.20114484059991,1.47744632267907,0.812987126613077,0.419730832004242
"100","Glucose","F3","NSD","male",0.728187831243822," ","TreatmentNSD",0.824307054346129,1.22452575245906,0.673164327243244,0.503661636543355
"103","Glucose","F4","NSD","male",0.716986962216119," ","TreatmentNSD",-0.654540620672516,0.904766157901266,-0.723436232618178,0.471352539975412
