metabolite,generation,treatment,sex,pAdj,AllSig,variable,estimate,std.error,statistic,p.value
Fitness,F0,HSD,female,0.98126164, ,TreatmentHSD,-0.545764337,12.23684474,-0.044600087,0.964503425
Fitness,F1,HSD,female,0.141617936, ,TreatmentHSD,24.58985115,13.1390438,1.871509946,0.06381549
Fitness,F2,HSD,female,0.017813319,*,TreatmentHSD,39.08110766,13.78744581,2.834542974,0.00542242
Fitness,F3,HSD,female,0.849609327, ,TreatmentHSD,4.832142607,11.75499878,0.411071298,0.681785263
Fitness,F4,HSD,female,1.34E-08,***,TreatmentHSD,80.03497049,12.05088882,6.641416389,1.08E-09
Fitness,F5,HSD,female,0.241592586, ,TreatmentHSD,17.77944793,11.65066738,1.526045448,0.129744167
Fitness,F0,LSD,female,0.465604529, ,TreatmentLSD,12.666704,11.85801756,1.06819744,0.287668638
Fitness,F1,LSD,female,0.507741943, ,TreatmentLSD,13.0447208,13.13746388,0.992940564,0.322823581
Fitness,F2,LSD,female,0.920953802, ,TreatmentLSD,-2.673906581,13.83157032,-0.193319089,0.847050102
Fitness,F3,LSD,female,0.14285782, ,TreatmentLSD,21.77172598,11.73592034,1.855135801,0.06613788
Fitness,F4,LSD,female,0.142533906, ,TreatmentLSD,22.25675614,11.95098735,1.862336181,0.06510808
Fitness,F5,LSD,female,0.170426065, ,TreatmentLSD,20.17635643,11.54040209,1.748323523,0.083076635
Fitness,F0,NSD,female,0.416718773, ,TreatmentNSD,17.71326828,15.38845938,1.151074831,0.252089134
Fitness,F1,NSD,female,0.001723211,**,TreatmentNSD,49.66777042,13.48057527,3.684395467,0.000351024
Fitness,F2,NSD,female,0.837773335, ,TreatmentNSD,5.941530801,13.778427,0.431219819,0.667115804
Fitness,F3,NSD,female,0.170426065, ,TreatmentNSD,20.35892855,11.68280325,1.74264071,0.084069546
Fitness,F4,NSD,female,0.049660419,*,TreatmentNSD,28.07392271,11.86206714,2.366697337,0.019618931
Fitness,F5,NSD,female,0.754926929, ,TreatmentNSD,-6.647384843,11.76118366,-0.565196925,0.573040811
Glucose,F0,HSD,female,0.979280308, ,TreatmentHSD,-0.074955831,1.104388445,-0.067870894,0.946059895
Glucose,F1,HSD,female,0.754926929, ,TreatmentHSD,-0.325819692,0.575184525,-0.566461157,0.571578542
Glucose,F2,HSD,female,0.084605849,.,TreatmentHSD,1.129236635,0.534250454,2.113683997,0.035513566
Glucose,F3,HSD,female,0.029444881,*,TreatmentHSD,-1.319306239,0.510818018,-2.582732387,0.010360236
Glucose,F4,HSD,female,0.044095342,*,TreatmentHSD,-0.87306464,0.363567416,-2.401383081,0.016875995
Glucose,F5,HSD,female,0.338085368, ,TreatmentHSD,-0.509048077,0.393071261,-1.295052901,0.196172991
Glucose,F0,LSD,female,0.020481235,*,TreatmentLSD,-3.093917634,1.108288967,-2.791616381,0.006574223
Glucose,F1,LSD,female,0.00050678,***,TreatmentLSD,2.299397908,0.576789108,3.986548771,8.76E-05
Glucose,F2,LSD,female,0.011440347,*,TreatmentLSD,-1.601632253,0.532507375,-3.007718445,0.002895397
Glucose,F3,LSD,female,0.014081568,*,TreatmentLSD,-1.486242609,0.509151391,-2.919058331,0.003824623
Glucose,F4,LSD,female,0.000131296,***,TreatmentLSD,1.547475292,0.355831572,4.348898219,1.82E-05
Glucose,F5,LSD,female,0.512869519, ,TreatmentLSD,0.382898768,0.391906158,0.977016462,0.329249567
Glucose,F0,NSD,female,5.62E-14,***,TreatmentNSD,-10.76399501,1.095767584,-9.823246433,2.43E-15
Glucose,F1,NSD,female,0.000210859,***,TreatmentNSD,2.43216048,0.574909826,4.230507758,3.25E-05
Glucose,F2,NSD,female,0.002972925,**,TreatmentNSD,-1.838058454,0.533089034,-3.447938965,0.00066065
Glucose,F3,NSD,female,0.34298822, ,TreatmentNSD,-0.653258688,0.509707539,-1.281634347,0.201135067
Glucose,F4,NSD,female,7.25E-05,***,TreatmentNSD,1.603882613,0.356454916,4.499538492,9.40E-06
Glucose,F5,NSD,female,0.015797579,*,TreatmentNSD,1.142273248,0.399294166,2.860731125,0.004485732
Glucose,F0,HSD,male,0.881439964, ,TreatmentHSD,-0.333903374,1.09746774,-0.30424892,0.761738241
Glucose,F1,HSD,male,0.69884189, ,TreatmentHSD,-0.386262137,0.578211472,-0.668029182,0.504719143
Glucose,F2,HSD,male,0.870826657, ,TreatmentHSD,0.194912735,0.532390114,0.366108855,0.714587402
Glucose,F3,HSD,male,0.881439964, ,TreatmentHSD,0.157239277,0.509039273,0.308894197,0.757654231
Glucose,F4,HSD,male,0.031424273,*,TreatmentHSD,-0.937276709,0.368599166,-2.54280746,0.011444643
Glucose,F5,HSD,male,0.98126164, ,TreatmentHSD,-0.013752655,0.392085011,-0.035075696,0.972039785
Glucose,F0,LSD,male,0.185550762, ,TreatmentLSD,-1.898013497,1.123415153,-1.689503202,0.095066131
