,metabolite,generation,treatment,sex,pAdj,AllSig,variable,estimate,std.error,statistic,p.value
147,Fitness,F0,HSD,female,0.979907828, ,TreatmentHSD,-0.545764337,12.23684474,-0.044600087,0.964503425
150,Fitness,F1,HSD,female,0.145607174, ,TreatmentHSD,24.58985115,13.1390438,1.871509946,0.06381549
153,Fitness,F2,HSD,female,0.018594033,*,TreatmentHSD,39.08110766,13.78744581,2.834542974,0.00542242
156,Fitness,F3,HSD,female,0.84312376, ,TreatmentHSD,4.832142607,11.75499878,0.411071298,0.681785263
159,Fitness,F4,HSD,female,1.34E-08,***,TreatmentHSD,80.03497049,12.05088882,6.641416389,1.08E-09
162,Fitness,F5,HSD,female,0.243111225, ,TreatmentHSD,17.77944793,11.65066738,1.526045448,0.129744167
146,Fitness,F0,LSD,female,0.466023193, ,TreatmentLSD,12.666704,11.85801756,1.06819744,0.287668638
149,Fitness,F1,LSD,female,0.51501235, ,TreatmentLSD,13.0447208,13.13746388,0.992940564,0.322823581
152,Fitness,F2,LSD,female,0.920535667, ,TreatmentLSD,-2.673906581,13.83157032,-0.193319089,0.847050102
155,Fitness,F3,LSD,female,0.146771733, ,TreatmentLSD,21.77172598,11.73592034,1.855135801,0.06613788
158,Fitness,F4,LSD,female,0.146493181, ,TreatmentLSD,22.25675614,11.95098735,1.862336181,0.06510808
161,Fitness,F5,LSD,female,0.168347698, ,TreatmentLSD,20.17635643,11.54040209,1.748323523,0.083076635
145,Fitness,F0,NSD,female,0.425400414, ,TreatmentNSD,17.71326828,15.38845938,1.151074831,0.252089134
148,Fitness,F1,NSD,female,0.001777061,**,TreatmentNSD,49.66777042,13.48057527,3.684395467,0.000351024
151,Fitness,F2,NSD,female,0.831328925, ,TreatmentNSD,5.941530801,13.778427,0.431219819,0.667115804
154,Fitness,F3,NSD,female,0.168347698, ,TreatmentNSD,20.35892855,11.68280325,1.74264071,0.084069546
157,Fitness,F4,NSD,female,0.049038679,*,TreatmentNSD,28.07392271,11.86206714,2.366697337,0.019618931
160,Fitness,F5,NSD,female,0.754736678, ,TreatmentNSD,-6.647384843,11.76118366,-0.565196925,0.573040811
111,Glucose,F0,HSD,female,0.973082331, ,TreatmentHSD,-0.081427604,1.15498301,-0.070501127,0.943972968
114,Glucose,F1,HSD,female,0.762922271, ,TreatmentHSD,-0.306985462,0.559885323,-0.548300606,0.583965195
117,Glucose,F2,HSD,female,0.072157412,.,TreatmentHSD,1.077156796,0.49445886,2.17845585,0.030288296
120,Glucose,F3,HSD,female,0.02948142,*,TreatmentHSD,-1.262494496,0.481597206,-2.621473879,0.009281188
123,Glucose,F4,HSD,female,0.063388375,.,TreatmentHSD,-0.825770633,0.369825756,-2.232864043,0.02621618
126,Glucose,F5,HSD,female,0.323663071, ,TreatmentHSD,-0.496346911,0.374391065,-1.325744541,0.185806578
110,Glucose,F0,LSD,female,0.02083713,*,TreatmentLSD,-3.244727072,1.159062224,-2.799441657,0.006431213
113,Glucose,F1,LSD,female,0.000673828,***,TreatmentLSD,2.213833477,0.561447226,3.943083831,0.000103986
116,Glucose,F2,LSD,female,0.010732471,*,TreatmentLSD,-1.496034655,0.492845607,-3.035503679,0.002649993
119,Glucose,F3,LSD,female,0.01343877,*,TreatmentLSD,-1.411976872,0.480025917,-2.941459667,0.003567081
122,Glucose,F4,LSD,female,0.000650374,***,TreatmentLSD,1.428691353,0.361956751,3.947132774,9.64E-05
125,Glucose,F5,LSD,female,0.51501235, ,TreatmentLSD,0.368483067,0.373281332,0.987145715,0.324267035
109,Glucose,F0,NSD,female,6.62E-14,***,TreatmentNSD,-11.25459426,1.145967207,-9.821043907,2.45E-15
112,Glucose,F1,NSD,female,0.000364756,***,TreatmentNSD,2.330372711,0.559617931,4.16422095,4.28E-05
115,Glucose,F2,NSD,female,0.002684478,**,TreatmentNSD,-1.723260779,0.493383944,-3.492737855,0.000563409
118,Glucose,F3,NSD,female,0.333477328, ,TreatmentNSD,-0.626510887,0.480550251,-1.30373647,0.19349919
121,Glucose,F4,NSD,female,0.000371935,***,TreatmentNSD,1.497323199,0.362590824,4.129512114,4.59E-05
124,Glucose,F5,NSD,female,0.01343877,*,TreatmentNSD,1.116449942,0.380318234,2.935567745,0.003553981
129,Glucose,F0,HSD,male,0.85554587, ,TreatmentHSD,-0.351095617,1.147745252,-0.3059003,0.760485218
132,Glucose,F1,HSD,male,0.698302099, ,TreatmentHSD,-0.376332428,0.562831757,-0.668641069,0.504329294
135,Glucose,F2,HSD,male,0.846886627, ,TreatmentHSD,0.196716842,0.49273708,0.399232876,0.690055771
138,Glucose,F3,HSD,male,0.85554587, ,TreatmentHSD,0.15002509,0.479920212,0.312604233,0.754836853
141,Glucose,F4,HSD,male,0.035663838,*,TreatmentHSD,-0.934106467,0.374944122,-2.491321808,0.013208829
144,Glucose,F5,HSD,male,0.979907828, ,TreatmentHSD,-0.01224647,0.373451685,-0.032792649,0.973859014
128,Glucose,F0,LSD,male,0.182811655, ,TreatmentLSD,-1.99359237,1.174881375,-1.696845667,0.093662762
131,Glucose,F1,LSD,male,0.285425246, ,TreatmentLSD,0.787766022,0.561836283,1.402127356,0.16209335
134,Glucose,F2,LSD,male,0.979907828, ,TreatmentLSD,-0.017133621,0.493233069,-0.034737372,0.972316336
137,Glucose,F3,LSD,male,0.243111225, ,TreatmentLSD,-0.727928555,0.480403299,-1.515244704,0.130949005
140,Glucose,F4,LSD,male,0.848422199, ,TreatmentLSD,0.133484333,0.375207256,0.355761597,0.722242362
143,Glucose,F5,LSD,male,0.987943733, ,TreatmentLSD,0.005686799,0.376064118,0.015121886,0.987943733
37,Glycogen,F0,NSD,female,2.27E-10,***,TreatmentNSD,-22.38394316,2.827134789,-7.917536597,1.26E-11
130,Glucose,F1,NSD,male,0.008802788,**,TreatmentNSD,1.738918022,0.560081329,3.104759848,0.00211919
133,Glucose,F2,NSD,male,0.690385127, ,TreatmentNSD,-0.341924386,0.49470462,-0.691168775,0.490088208
136,Glucose,F3,NSD,male,0.920535667, ,TreatmentNSD,-0.080239567,0.481836574,-0.166528594,0.867872951
139,Glucose,F4,NSD,male,0.158350914, ,TreatmentNSD,0.66124904,0.370578154,1.784371346,0.075265558
142,Glucose,F5,NSD,male,0.778548792, ,TreatmentNSD,-0.195700107,0.373591624,-0.5238343,0.600732093
39,Glycogen,F0,HSD,female,5.91E-10,***,TreatmentHSD,21.88419537,2.84937704,7.680343829,3.65E-11
42,Glycogen,F1,HSD,female,0.029522552,*,TreatmentHSD,5.007020914,1.915333793,2.614176668,0.009476375
45,Glycogen,F2,HSD,female,0.559360205, ,TreatmentHSD,1.544940527,1.740912883,0.887431268,0.37568299
48,Glycogen,F3,HSD,female,0.743349239, ,TreatmentHSD,-0.858341684,1.452993255,-0.590740308,0.555217642
51,Glycogen,F4,HSD,female,0.724837322, ,TreatmentHSD,0.843948824,1.350472912,0.624928361,0.53244223
54,Glycogen,F5,HSD,female,0.007685012,**,TreatmentHSD,-4.713209794,1.498367966,-3.145562306,0.001802657
38,Glycogen,F0,LSD,female,0.001172866,**,TreatmentLSD,-11.14546867,2.85944058,-3.897779428,0.000202332
41,Glycogen,F1,LSD,female,0.243111225, ,TreatmentLSD,2.90188821,1.920676968,1.510867396,0.132060419
44,Glycogen,F2,LSD,female,0.031036497,*,TreatmentLSD,-4.460121554,1.735232871,-2.570330259,0.010728666
47,Glycogen,F3,LSD,female,0.035663838,*,TreatmentLSD,-3.615170265,1.448252628,-2.496229039,0.013184302
50,Glycogen,F4,LSD,female,0.01185703,*,TreatmentLSD,3.951271666,1.321738086,2.989451321,0.003000853
53,Glycogen,F5,LSD,female,0.85554587, ,TreatmentLSD,0.476063525,1.493926652,0.31866593,0.750173809
1,TAG,F0,NSD,female,1.46E-14,***,TreatmentNSD,-59.27426612,5.810330693,-10.20153056,4.50E-16
40,Glycogen,F1,NSD,female,0.058424344,.,TreatmentNSD,4.359588769,1.914419062,2.277238488,0.023600575
43,Glycogen,F2,NSD,female,0.559360205, ,TreatmentNSD,1.528606195,1.737128272,0.879961612,0.379708633
46,Glycogen,F3,NSD,female,0.005640198,**,TreatmentNSD,-4.730677735,1.449834559,-3.262908657,0.001253377
49,Glycogen,F4,NSD,female,0.001519324,**,TreatmentNSD,4.848515336,1.324053497,3.661872688,0.000290735
52,Glycogen,F5,NSD,female,0.973082331, ,TreatmentNSD,0.104566883,1.522089368,0.068699569,0.945268793
57,Glycogen,F0,HSD,male,1.03E-09,***,TreatmentHSD,21.28102695,2.831521279,7.515757381,7.60E-11
