Sex,Generation,Treatment (relative to CD),Glucose,,,,,,,Trehalose,,,,,,,Glycogen,,,,,,,Triglycerides,,,,,,,Fitness,,,,,,
,,,estimate,std.error,statistic,p.value,Bootstrap CI (bca) (10000 iterations),Bootstrapped p-value,Signficance,estimate,std.error,statistic,p.value,Bootstrap CI (bca) (10000 iterations),Bootstrapped p-value,Signficance,estimate,std.error,statistic,p.value,Bootstrap CI (bca) (10000 iterations),Bootstrapped p-value,Signficance,estimate,std.error,statistic,p.value,Bootstrap CI (bca) (10000 iterations),Bootstrapped p-value,Signficance,estimate,std.error,statistic,p.value,Bootstrap CI (bca) (10000 iterations),Bootstrapped p-value,Signficance
Female,F0,TreatmentNSD,-10.7814,0.8727,-12.3545,0,"(-14.01,  -8.90 )",<0.0001,***,-13.744,1.8566,-7.4028,0,"(-17.07, -10.60 )",<0.0001,***,-28.0418,3.0783,-9.1094,<0.0001,"(-35.50, -22.69 ) ",<0.0001,***,-44.4701,9.0842,-4.8953,<0.0001,"(-56.91, -32.45 )",<0.0001,***,-57.87,16.43,-3.522,0.0005,"(-82.91, -33.23 )",<0.0001,***
Female,F0,TreatmentLSD,-2.8216,0.8734,-3.2308,0.0013,"(-6.165, -0.159 )",0.05,*,-4.6895,1.8581,-2.5239,0.0117,"(-8.258, -1.238 )",0.0104,*,-12.1904,3.0808,-3.9569,<0.0001,"(-20.09,  -6.02 )",<0.0001,***,-22.4198,8.9732,-2.4985,0.0126,"(-32.61, -12.92 )",<0.0001,***,3.033,16.43,0.185,0.8536,"(-31.156,  37.428 )",0.866,
Female,F0,TreatmentHSD,0.151,0.8731,0.1729,0.8627,"(-3.0805,  2.6517 )",0.8778,,9.5685,1.8576,5.151,0,"( 3.665, 15.125 )",<0.0001,***,21.3202,3.08,6.9221,<0.0001,"(13.14, 28.82 )",<0.0001,***,24.8732,9.0195,2.7577,0.0059,"(10.18, 40.12 )",0.0022,**,-25.57,16.43,-1.556,0.1202,"(-54.25,   2.91 )",0.0778,
Female,F1,TreatmentNSD,2.4296,0.5039,4.822,<0.0001,"( 1.067,  3.900 )",0.001,**,1.7033,1.0719,1.589,0.1123,"(-1.100, 4.464)",0.2254,,3.8229,1.7773,2.151,0.0316,"( 0.049,  7.298 )  ",0.039,*,18.690093,5.180307,3.608,0.000319,"( 5.87, 33.25 )",0.006,**,27.1,16.43,1.649,0.0996,"(-5.98, 58.36 )",0.0992,
Female,F1,TreatmentLSD,2.3107,0.5041,4.584,<0.0001,"( 0.9768,  3.712 ) ",0.001,**,-1.2554,1.0725,-1.171,0.242,"(-3.919, 1.619)",0.3714,,2.7764,1.7782,1.561,0.1187,"(-1.450,  6.736 )  ",0.1744,,31.892347,5.177417,6.16,<0.0001,"(19.89, 42.65 )  ",<0.0001,***,5.933,16.43,0.361,0.7181,"(-25.806,  35.429 )",0.701,
Female,F1,TreatmentHSD,-0.3307,0.5039,-0.656,0.5117,"(-1.5225,  0.8603 )",0.5784,,0.3526,1.072,0.329,0.7423,"(-2.2857, 2.9410)",0.7894,,5.372,1.7775,3.022,0.0026,"( 1.239,  9.224 )  ",0.0088,**,-2.3889,5.177465,-0.461,0.644575,"(-12.956,   7.832 ) ",0.6596,,17.33,16.43,1.055,0.2919,"(-13.42,  46.66 )  ",0.253,
Female,F2,TreatmentNSD,-1.9278,0.504,-3.825,0.0001,"(-3.055, -0.777 )  ",<0.0001,***,1.9824,1.0722,1.849,0.0647,"(-0.905,  5.097 )  ",0.19,,0.7133,1.7777,0.401,0.6883,"(-3.2554,  4.6651 )  ",0.7218,,-11.9423,5.19,-2.301,0.0215,"(-25.31,   1.11 )  ",0.072,,26.67,16.43,0.016,0.9871,"(-29.663,  29.6287 )",0.9902,
Female,F2,TreatmentLSD,-1.5644,0.5039,-3.105,0.0019,"(-2.726, -0.426 )  ",0.0078,**,1.2229,1.0791,1.141,0.2541,"(-1.858,  4.311 )  ",0.4426,,-5.002,1.7774,-2.814,0.005,"(-9.217, -0.396 )  ",0.0262,*,-20.2625,5.204,-3.894,0.0001,"(-32.16,  -9.01 )  ",<0.0001,***,6.833,16.43,0.416,0.6777,"(-23.756,  35.775 ) ",0.655,
Female,F2,TreatmentHSD,0.9831,0.5042,1.95,0.0514,"(-0.1649,  2.1630 )  ",0.0962,,1.6451,1.0726,1.534,0.1253,"(-1.452,  4.769 )",0.2966,,0.6644,1.7784,0.374,0.7088,"(-3.5340,  4.9674 )",0.7584,,44.6502,5.1892,8.604,<0.0001,"(30.94, 57.35 )  ",<0.0001,***,45.57,16.43,2.773,0.0057,"( 9.02, 78.99 )  ",0.0138,*
Female,F3,TreatmentNSD,-0.6498,0.504,-1.289,0.1975,"(-1.6689, 0.3244)",0.195,,-1.0584,1.0722,-0.987,0.3237,"(-3.476, 1.296)",0.378,,-5.3834,1.7777,-3.028,0.0025,"(-10.612, -0.632)",0.0322,*,-2.031,5.183,-0.392,0.6953,"(-16.472, 12.668)",0.792,,19.27,16.43,1.172,0.2414,"(-15.03, 53.76)",0.2732,
