Generation,Treatment,Sex,SampleNo,Sugar.Weight,Glucose,Trehalose,Glycogen,Fat.Weight,TAG,DAG,Fit.Weight,Fitness
F0,NSD,male,1,2.49,2.0928,2.32,11.9163,2.24,0.558947081,20.74311019,NA,NA
F0,NSD,male,2,2.31,1.9675,5.8612,14.1371,2.35,2.553123456,17.17276043,NA,NA
F0,NSD,male,3,2.47,1.5317,2.1967,12.3007,2.5,1.795276731,47.91372214,NA,NA
F0,NSD,male,4,2.65,1.3873,1.83,11.5309,2.54,2.875367439,18.1679051,NA,NA
F0,NSD,male,5,2.42,1.6827,4.3954,13.0995,2.33,0.581838073,27.54837465,NA,NA
F0,NSD,male,6,2.49,0.2958,2.0263,14.7744,2.13,0.514739988,22.63764532,NA,NA
F0,NSD,male,7,2.49,3.5232,4.7662,14.2014,2.15,0.407303211,22.69320928,NA,NA
F0,NSD,male,8,2.37,2.9818,3.0987,12.1123,2.36,0.485554527,32.76621175,NA,NA
F0,NSD,male,9,2.45,1.2497,1.7685,12.2646,2.16,0.263457606,55.37483877,NA,NA
F0,NSD,male,10,2.51,3.0202,2.8516,12.5138,2.22,0.626727906,25.22583017,NA,NA
F0,NSD,male,11,2.53,5.0823,4.8896,15.5597,2.39,0.291122693,39.89958137,NA,NA
F0,NSD,female,1,3.67,1.156,2.685,13.577,3.22,10.1862113,11.2549027,0.65,61
F0,NSD,female,2,3.23,0.1808,2.1923,14.3832,2.86,10.10360394,17.65149097,0.89,49
F0,NSD,female,3,3.27,3.8176,2.8282,13.1556,3.5,6.011528759,15.39546,0.65,0
F0,NSD,female,4,3.33,3.3691,4.7476,16.3876,3.29,4.539961463,16.49204189,0.65,1
F0,NSD,female,5,3.45,4.0874,7.3858,11.668,3.14,2.561490003,19.26347146,0.86,55
F0,NSD,female,6,3.72,3.9543,5.0452,15.3561,3.22,5.013460258,16.22313353,0.65,12
F0,NSD,female,7,3.92,2.7973,7.6554,12.6063,3.86,3.287368506,11.49526594,0.65,7
F0,NSD,female,8,3.43,4.519,1.7541,16.2911,3.13,4.32254283,16.27690279,1.06,66
F0,NSD,female,9,3.6,6.1813,7.3426,16.2989,3.45,2.487800481,15.17258937,0.75,28
F0,NSD,female,10,3.64,1.4907,3.8645,14.9989,2.92,3.151004519,14.17079521,1.05,68
F0,NSD,female,11,3.64,3.1349,4.0384,14.9398,3.29,2.981152916,33.69817135,0.82,25
F0,NSD,female,12,NA,NA,NA,NA,NA,NA,NA,0.99,27
F0,NSD,female,13,NA,NA,NA,NA,NA,NA,NA,0.65,1
F0,NSD,female,14,NA,NA,NA,NA,NA,NA,NA,0.87,4
F0,NSD,female,15,NA,NA,NA,NA,NA,NA,NA,0.65,9
F0,NSD,female,16,NA,NA,NA,NA,NA,NA,NA,0.98,66
F0,NSD,female,17,NA,NA,NA,NA,NA,NA,NA,1.05,44
F0,NSD,female,18,NA,NA,NA,NA,NA,NA,NA,1.32,69
F0,NSD,female,19,NA,NA,NA,NA,NA,NA,NA,0.94,9
F0,NSD,female,20,NA,NA,NA,NA,NA,NA,NA,1.19,87
F0,NSD,female,21,NA,NA,NA,NA,NA,NA,NA,0.65,31
F0,NSD,female,22,NA,NA,NA,NA,NA,NA,NA,0.65,30
F0,NSD,female,23,NA,NA,NA,NA,NA,NA,NA,0.65,75
F0,NSD,female,24,NA,NA,NA,NA,NA,NA,NA,0.65,0
F0,NSD,female,25,NA,NA,NA,NA,NA,NA,NA,0.65,0
F0,NSD,female,26,NA,NA,NA,NA,NA,NA,NA,0.65,40
F0,NSD,female,27,NA,NA,NA,NA,NA,NA,NA,0.65,18
F0,NSD,female,28,NA,NA,NA,NA,NA,NA,NA,0.65,19
F0,NSD,female,29,NA,NA,NA,NA,NA,NA,NA,0.65,66
F0,NSD,female,30,NA,NA,NA,NA,NA,NA,NA,0.65,16
F0,LSD,male,1,2.42,7.1287,17.0514,25.03,2.5,41.47235888,14.62148001,NA,NA
F0,LSD,male,2,2.53,7.2019,5.9545,22.8104,2.55,39.58211065,18.54651585,NA,NA
F0,LSD,male,3,2.35,9.1885,13.793,24.0119,2.68,38.20589503,26.77398988,NA,NA
F0,LSD,male,4,2.33,8.4969,10.6873,25.1248,2.48,34.4494593,22.44465992,NA,NA
F0,LSD,male,5,2.14,9.2948,15.2544,25.046,2.44,25.48776169,63.32392276,NA,NA
F0,LSD,male,6,2.47,12.4377,14.7576,23.5306,2.47,33.9801694,52.3534653,NA,NA
F0,LSD,male,7,2.42,5.365,19.3383,26.2196,2.56,44.12714524,21.81741935,NA,NA
F0,LSD,male,8,2.34,9.4692,11.0896,23.6369,2.48,38.67794441,20.2259578,NA,NA
F0,LSD,male,9,2.37,11.592,20.858,20.3954,2.6,39.36308588,22.42980611,NA,NA
F0,LSD,male,10,2.45,9.9367,9.9648,24.9177,2.61,56.37681805,22.44076018,NA,NA
F0,LSD,male,11,2.46,5.9637,12.0422,16.0997,2.36,31.87890353,21.89661331,NA,NA
F0,LSD,female,1,3.56,8.7562,9.595,24.0535,3.76,42.13551318,14.30274632,0.83,9
F0,LSD,female,2,3.62,10.4104,9.6516,32.1503,3.88,52.33738143,22.14831839,0.85,0
F0,LSD,female,3,3.65,9.5456,15.1285,34.1696,3.65,41.25721496,15.60027665,1.24,218
F0,LSD,female,4,3.27,13.8857,17.3475,33.2608,3.54,40.71270661,19.22899261,1.01,7
F0,LSD,female,5,3.33,5.403,10.8127,17.395,3.39,31.19294724,21.44052264,1.02,1
F0,LSD,female,6,3.44,15.6775,14.3008,35.0032,3.73,37.0252446,23.78364291,1.4,41
F0,LSD,female,7,3.4,11.3418,12.51,27.3801,3.19,36.93459934,20.61793496,1.32,121
